,coordinates,demand,ready_time,due_time,service_time
0,"(40, 50)",0,0,240,0
1,"(8, 40)",40,59,89,10
2,"(8, 56)",27,90,120,10
3,"(31, 52)",27,41,71,10
4,"(88, 35)",20,61,91,10
5,"(12, 24)",13,90,120,10
6,"(41, 37)",16,133,163,10
7,"(40, 5)",10,67,97,10
8,"(63, 65)",8,30,60,10
9,"(85, 25)",10,51,81,10
10,"(8, 45)",20,64,94,10
11,"(92, 30)",10,62,92,10
12,"(60, 85)",30,85,115,10
13,"(62, 80)",30,75,105,10
14,"(95, 35)",20,62,92,10
15,"(60, 12)",31,75,105,10
16,"(42, 15)",10,122,152,10
17,"(55, 82)",10,64,94,10
18,"(55, 20)",19,83,113,10
19,"(24, 58)",19,67,97,10
20,"(53, 43)",14,14,44,10
21,"(42, 5)",10,151,181,10
22,"(37, 31)",14,35,65,10
23,"(0, 40)",20,72,102,10
24,"(5, 5)",16,74,104,10
25,"(5, 45)",10,35,65,10
26,"(20, 20)",8,141,171,10
27,"(63, 23)",2,87,117,10
28,"(2, 45)",10,45,75,10
29,"(4, 18)",35,120,150,10
30,"(61, 52)",3,178,208,10
